Comment,Designator,Footprint,JLCPCB Part #(optional)
22u,"C1, C2",CAP_1206,C12891
100n,"C3, C6, C11, C12, C13, C14, C15, C16, C20, C21, C22, C23, C25, C26, C27, C28, C32, C33, C34, C35, C38, C42, C43, C44, C45, C46, C49, C50, C52, C60, C61, C62, C63, C64, C65, C67",CAP_0603,C14663
10u,"C4, C5",CAP_0805,C440198
22u,"C7, C8, C10, C17, C24, C29",CAP_0603,C59461
33n,C9,CAP_0603,C21117
10n,"C18, C19, C30, C31, C53",CAP_1206,C1846
15p,"C36, C37, C68, C69",CAP_0402,C1548
10u,"C39, C40, C41, C47, C48, C51, C66, C70",CAP_0603,C96446
100n,"C54, C55, C56, C59",CAP_0402,C1525
2.2u,"C57, C58",CAP_0603,C23630
40V 3A SMA(DO-214AC),"D1, D2",SS34,C8678
GREEN,D3,LED_0603_GREEN,C2986059
Diode Schottky,"D4, D5",RB521S30T1G,C145179
YELLOW,D6,LED_0603_YELLOW,C72038
ESD Protection TVS 6.0V,D7,SMF6.0CA,C2990473
RGB_LED,D8,XL-2012RGBC,C965848
120R,"FB1, FB2, FB3, FB4, FB5, FB6, FB7",FB_0603,C76892
HR911105A,"J1, J2, J3, J4",HR911105A,C12074
100/1000Base-T RJ45 MAGJACK,J5,HR911130A,C54408
4.7uH,L1,FXL0530-4R7-M,C177246
2u2,L2,IND_1008,C3002540
WJ500V-5.08-2P,P1,CONN-TH_2P-P5.00_WJ500V-5.08-2P,C8465
31K2,R1,RES_0603,C863036
50R,R2,RES_0603,C849792
1K,"R3, R48",RES_0402,C11702
10K,"R4, R23, R58",RES_0603,C25804
4K7,"R5, R6, R41, R43, R45, R46",RES_0603,C23162
22R,"R7, R8, R9, R10, R11, R13, R15, R31, R32, R33, R35, R36, R37, R54",RES_0402,C25092
1K,"R12, R14, R16, R17, R18, R19, R20, R21, R30, R34",RES_0603,C21190
0R,"R22, R55, R56, R57",RES_0402,C17168
12K4,R24,RES_0603,C22865
330R,R25,RES_0603,C23138
4K7,"R26, R27, R28, R29, R38, R39",RES_0402,C25900
1K5,R42,RES_0603,C22843
2K49,R44,RES_0603,C22908
0R,R47,RES_0603,C21189
5K1,"R49, R50",RES_0603,C23186
180R,R51,RES_0603,C22828
75R,"R52, R53",RES_0603,C4275
21K5,R59,RES_0603,C2933169
RST_SWITCH_STM32,RST1,RST_SWITCH,C720477
TS-1088-AR02016,SW1,TS-1088-AR02016,C720477
LDO 1A 1.2V,U1,AMS1117-1.2,C347218
Step Down Converter 3A 3.8V~30V,U2,TPS62933DRLR,C3200405
5-Port 10/100-Man Eth,U3,KSZ8795CLXIC,C69416
PHY ETH 10/100/1000M,U4,RTL8211F-CG,C187932
ACTIVE LOW RESET 3.08V,U5,MAX809T,C347372
TVS USB 2.0 ±25-kV,U6,TPD2E2U06DRLR,C1972959
Schmitt Trigger 1.65V~5.5V,U7,"74LVC1G14GW,125",C265125
256KB ARM-M3 72MHz,U8,STM32F107RCT6,C13643
USB-C CONNECTOR,USB1,USB-3.1-SMD_U262-161N-4BVC11,C319148
25MHz,"X1, X2",XTAL_3225,C9006
ESD 5A 75W 12.5V 6V Bidirectional 5V,"TVS1, TVS2, TVS3, TVS4, TVS5, TVS6",SRV05-4,C7420376
